source_family,stream,source_file,local_id,veto_class,tes_total_keV,plastic_skin_keV,active_other_keV,side_compton_class,side_compton_fov_pass,init_x_cm,init_y_cm,init_z_cm,dir_x,dir_y,dir_z,init_energy_keV,tes_x_cm,tes_y_cm,tes_z_cm,first_hit_volume,first_hit_category,source_scope
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,156993,plastic_skin_veto,510.99893000000003,148.23406487,0.0,keep,True,30.16901,53.12517,40.2641,-0.61486,-0.35955,-0.7019,148.234,-2.2757470745112323,1.1489054372908767,-4.945740378005547,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,192957,pass,510.998868,0.0,0.0,keep,True,-15.3215,55.5256,18.48458,0.41001,-0.90427,-0.11911,44.81,-4.090964650547377,-0.5422369138636249,-3.166331176780368,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep02_part01.inc1.id1.sim.gz,231354,compton_fov_veto,510.99894000000006,0.0,0.0,veto,False,65.77783,27.57023,0.87293,-0.82478,-0.27821,0.49227,365.181,-5.251202228003643,0.9994481623546498,-2.65611776182933,TP_L1_00360,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,28520,plastic_skin_veto,510.99890000000005,1439.4885858599994,0.0,single,True,48.90007,15.62975,-46.73031,-0.79473,-0.51189,0.32614,1439.489,-1.882351394860341,0.6305100730296874,-4.32357923033983,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,71755,plastic_skin_veto,510.99890600000003,279.82020102999996,0.0,keep,True,-15.67733,-54.60262,-25.8746,-0.09723,0.826,0.55522,279.82,-1.213471662304142,0.3013146372288715,-5.452383810803439,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,80084,plastic_skin_veto,510.99890000000005,57.4583928,0.0,single,True,68.44518,0.9178,4.86164,-0.93262,-0.34983,-0.08849,57.458,-4.044241263476105,0.5894592769259972,-4.933863893664154,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,136894,pass,510.99892000000006,0.0,0.0,keep,True,-46.91764,-31.19892,45.57509,0.4817,-0.02415,-0.876,0.449,-3.8588794464810405,-1.2992103417734815,-2.848427515730014,TP_L2_00019,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,183364,pass,510.99894,0.0,0.0,single,True,61.40093,14.19736,-10.94499,-0.95971,-0.08952,0.26633,20.113,-2.9006105589843885,-0.08827590580514316,-5.595919830596654,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,231882,pass,510.99898200000007,0.0,0.0,single,True,46.68125,43.96283,-6.19237,-0.48777,-0.83402,0.25786,31.35,-2.186794305220991,0.3272848575939949,-4.722066870032297,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep03_part01.inc1.id1.sim.gz,235828,plastic_skin_veto,510.99887,129.565724726,0.0,single,True,-55.48752,23.28927,-10.84068,0.98843,0.06073,0.13897,129.566,-3.834270640315213,0.7367171397787475,-2.850085152408576,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,2392,plastic_skin_veto,510.998897,80.21698774000001,0.0,single,True,-55.4356,16.1038,12.0147,0.87627,-0.48067,0.03342,80.217,-5.073324921328204,0.2467783029224531,-0.8703515923523136,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,10024,plastic_skin_veto,510.99892,789.0177221500003,48552.473045253966,veto,False,-32.16132,48.00657,2.70299,0.52939,-0.84727,-0.04335,95895.346,-5.929698264626097,-0.5636450633101182,-3.1299459887872363,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,64214,pass,510.999,0.0,0.0,single,True,14.47161,77.62503,25.57908,-0.34151,-0.84232,0.41698,41.207,-3.3785294883757113,-0.7755371101318006,-4.396498121071665,TP_L3_00081,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,235494,pass,510.99889999999994,0.0,0.0,single,True,-63.69264,8.4259,6.93738,0.92633,0.315,0.20661,78.458,-4.427419066041434,-0.10389611809387458,-3.5570107836876956,TP_L2_00163,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep04_part01.inc1.id1.sim.gz,238305,pass,510.999,0.0,0.0,single,True,43.8147,-11.74901,-41.52982,-0.45714,0.30662,0.83487,59.098,-3.0318894497605666,-1.2250291869166083,-4.065841704831125,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,30107,plastic_skin_veto,510.9989,380.52368003999993,0.0,single,True,-39.14891,-46.76609,12.5776,0.51208,0.72567,-0.45954,380.524,-5.624683886018934,0.44876692543064184,-3.254443901892353,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,31391,plastic_skin_veto,510.99893099999997,1054.2684250000002,79556.46358971,single,True,15.71057,59.89891,-5.19193,-0.32733,-0.94456,-0.02588,201479.525,-1.9516869449553411,-0.5223703441822997,-6.208625701900771,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,31997,pass,510.99893299999997,0.0,0.0,single,True,57.45726,-24.69386,26.95075,-0.67146,0.46389,-0.57789,629.605,-2.480845766490716,-0.6912045697520491,-3.42604518326261,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,40978,plastic_skin_veto,510.99888,183.89296027999998,0.0,keep,True,-50.46629,15.57909,30.83227,0.7648,-0.52716,-0.37037,183.893,-5.341539875915501,-0.8494922422095329,-1.128516836712284,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,55140,pass,510.9989,0.0,0.0,single,True,-47.80923,1.97362,40.23165,0.87704,0.2516,-0.40927,118.797,-0.836734856376779,0.4967108612556388,-4.918207455284503,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,67424,pass,510.9989,4.26576295,0.0,single,True,-0.68884,-54.51178,38.12343,-0.27932,0.79482,-0.53874,4.266,-5.924672678861637,-0.8891578276765958,-1.6161752125277569,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,81816,compton_fov_veto,510.99894,0.0,0.0,veto,False,-64.78826,-8.01617,33.27407,0.88736,-0.45486,-0.07544,172.683,-4.898857514865334,-1.2387966524681637,-2.2269693634641983,TP_L1_00007,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,113054,pass,510.9989532108,0.0,0.0,keep,True,-48.93887,25.6585,47.93623,0.59751,-0.78011,-0.1855,1.264,-5.162348105622446,0.3895394927656757,-0.8408071488092655,TP_L0_00237,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,143314,pass,510.99892,0.0,0.0,single,True,-13.37255,1.18751,80.24261,-0.06825,-0.59775,-0.79878,233.085,-5.766152844711375,-1.1261506752583743,-1.6047932729165064,TP_L0_00046,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep05_part01.inc1.id1.sim.gz,201276,compton_fov_veto,510.99893,0.0,0.0,veto,False,56.27275,21.05929,-23.7107,-0.7251,-0.58953,0.35592,0.41,-3.0604303632039502,-0.6541398546492299,-4.237421486557203,TP_L4_00113,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,19036,pass,510.99888400000003,3.5523303000000004,0.0,keep,True,38.61802,12.83633,-46.44608,-0.50868,-0.47658,0.71702,3.552,-2.947493354069172,-0.270380627093469,-3.8279154876220427,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,25293,plastic_skin_veto,510.99889999999994,156.10666461,0.0,single,True,45.8748,-40.16594,-20.47679,-0.83667,0.51376,0.1898,156.107,-1.5265804876572142,-0.1740670685787386,-4.217137407844127,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,36215,pass,510.99895300000003,33.88231068,0.0,keep,True,62.48022,22.5837,-10.20892,-0.97288,-0.00818,0.23118,33.882,-3.0488996447325225,-0.5261892006325529,-2.2263844701410416,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,70159,pass,510.99886000000004,8.178310250000001,0.0,single,True,53.04056,37.32952,23.5485,-0.80843,-0.29619,-0.50864,8.178,-4.479004513599698,0.6597312956737046,-3.6270767409441964,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,120181,pass,510.99892,15.958251559999999,0.0,single,True,-44.3232,36.60712,3.96739,0.77442,-0.60368,0.18932,15.958,-2.0968865962665437,1.3565738849517723,-6.318872076943176,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,128882,pass,510.99896,11.933693819999998,0.0,single,True,-28.78895,-55.57706,24.09401,0.45745,0.56283,-0.68845,11.934,-1.7681043274673591,-0.29858376744701987,-4.51523485432667,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,131723,pass,510.9988953999999,14.582484999999998,0.0,single,True,9.38887,-62.33677,-8.84127,-0.35885,0.93338,0.00435,14.582,-5.897715858300012,-0.24155873293129793,-1.8494538006465213,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,144727,plastic_skin_veto,510.998917,894.260884652,724.411976,keep,True,-7.65293,-61.23633,9.40027,-0.07393,0.97941,-0.18788,7309.667,-6.02388862829178,0.8210379791101333,-1.689293829787152,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,156362,pass,510.99889500000006,45.621403169999994,0.0,keep,True,50.9296,44.76676,-0.10272,-0.8993,-0.38635,0.20491,225.291,-1.3774327749404858,-0.6169755336793318,-3.904733639258317,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,163455,pass,510.99890000000005,0.0,0.0,keep,True,49.03178,-43.50991,-31.31691,-0.69407,0.71744,-0.05951,0.861,-1.3555127939148204,-1.5013810330967445,-5.679285105062456,TP_L5_00006,tes,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep06_part01.inc1.id1.sim.gz,177789,plastic_skin_veto,510.99886000000004,70.0206271,0.0,keep,True,-23.52179,54.87891,7.72614,0.26476,-0.96206,0.06591,70.021,-5.861339079250235,0.22277183049029503,-3.1616567635023882,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,61301,plastic_skin_veto,510.99893199999997,2232.7753136000006,0.0,single,True,69.05237,-11.66529,-20.95716,-0.96157,0.20928,-0.17772,2232.775,-2.3354998768749686,-0.9899889452179225,-4.836172064684441,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,106227,pass,510.99890000000005,13.14675642,0.0,keep,True,-9.02853,44.43771,-37.16229,-0.04396,-0.66355,0.74684,13.147,-4.427185884937326,0.5704784687279562,-5.150340070498782,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,168995,plastic_skin_veto,510.99891799999995,123.53333450000001,0.0,single,True,-29.15577,50.60919,10.00014,0.41619,-0.90927,0.00373,123.533,-5.539959349085162,0.3575215034166656,-2.792972190256227,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,197516,pass,510.99891,14.504205980000002,0.0,single,True,43.08702,-32.69326,-32.31655,-0.81443,0.38228,0.43654,14.504,-5.430000682933179,-1.0900546888911562,-3.002793399821753,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,202853,pass,510.998843,6.002913899999999,0.0,single,True,12.92977,-59.59861,-7.79313,-0.23543,0.97186,0.00744,6.003,-5.363950662707957,-1.1777327309189483,-1.0288303445188582,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep07_part01.inc1.id1.sim.gz,209358,plastic_skin_veto,510.99888699999997,114.59603899999999,0.0,single,True,37.22303,7.81014,-57.023,-0.84904,0.03035,0.52746,114.596,-1.408231993906615,0.6119963285948621,-3.9811470939212246,GeoOpt_S1_PlasticFullWrap_BottomCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,9911,pass,510.99888,1.23070945,0.0,keep,True,-61.0021,1.50095,-0.59952,0.91605,0.38437,0.11453,1.231,-5.5269524036825475,0.028336496419205433,-2.274185863368448,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,41264,pass,510.99886,0.0,0.0,single,True,37.74993,18.8252,-45.26736,-0.2737,-0.24602,0.92982,17.71,-0.533237041029755,0.03611906396012313,-4.645315613546926,Vacuum_Jacket_Al_266mmClass_side_port_side_wall_above_side_port,outer_mechanics,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,51896,pass,510.998865,28.90073623,0.0,keep,True,-42.20939,-34.62776,19.87169,0.75334,0.57492,-0.31928,28.901,-6.338278635426549,0.3304937497085027,-2.2288026557974545,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,69124,pass,510.99893399999996,1.90121827,0.0,keep,True,-56.14024,0.38491,20.86587,0.84771,0.06209,-0.52682,1.901,-3.9662956940867553,-1.016418327598116,-4.7233109197409675,GeoOpt_S1_PlasticFullWrap_SideShell_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
eplus,prompt,runs/geometry_optimization_20260704/step02_instant_geo_opt_s1_bpe_w5_fullstat_v1/Background_eplus_fullsphere20_rep08_part01.inc1.id1.sim.gz,80763,pass,510.99888999999996,48.59154108,0.0,single,True,63.23848,-13.7068,-18.48038,-0.91708,-0.16303,0.36386,48.592,-5.289591005931715,-0.7223319245886602,-2.7359143386324183,GeoOpt_S1_PlasticFullWrap_TopCap_5mm,geoopt_plastic_active,current_geo_opt_prompt_or_delayed
